C,SF,FA,SIP,SFl,SS,S,QP,QS,GP,W,SP,SL,Age,L,D,HFV,SFV,TFV,TS
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,20,0.2,0,0,1.5,1.68
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,20,0.2,0,0,1.5,2.25
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,20,0.2,0,0,1.5,1.53
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,20,0.2,0,0,1.5,1.00
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,20,0.2,0,0,1.5,2.38
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,20,0.2,0,0,1.5,1.00
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,19,0.2,0,1.5,0,2.75
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,19,0.2,0,1.5,0,2.75
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,19,0.2,0,1.5,0,3.15
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,19,0.2,0,1.5,0,1.40
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,19,0.2,0,1.5,0,1.10
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,19,0.2,0,1.5,0,1.85
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,19,0.2,0,1.5,0,0.93
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,19,0.2,0,1.5,0,1.98
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,19,0.2,0,1.5,0,1.93
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,19,0.2,0,1.5,0,1.18
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,19,0.2,0,1.5,0,1.15
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,19,0.2,0,1.5,0,1.95
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,13,0.2,0,1.5,0,1.20
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,13,0.2,0,1.5,0,1.15
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,13,0.2,0,1.5,0,1.50
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,13,0.2,0,1.5,0,1.00
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,13,0.2,0,1.5,0,1.00
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,13,0.2,0,1.5,0,0.75
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,13,0.2,0,1.5,0,0.53
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,13,0.2,0,1.5,0,0.63
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,13,0.2,0,1.5,0,0.45
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,13,0.2,0,1.5,0,1.65
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,13,0.2,0,1.5,0,1.45
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,13,0.2,0,1.5,0,0.95
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,13,0.2,0,1.5,0,4.40
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,13,0.2,0,1.5,0,4.34
781.3,195.3,0,195.3,0,0,1008,0,0,0,171.89,4.21,0,28,13,0.2,0,1.5,0,4.35
